Fecha,Magnitud,Profundidad,Ubicación,Latitud,Longitud,Tipo,Estatus,Tsunami,Alerta,Significancia,Tipo de Origen,Fuente
1618860425261,2.7,9.1,"16 km N of Willow, Alaska",61.8977,-149.9874,earthquake,reviewed,0,,113,,ak
1618801615565,2.5,126.7,"60 km SE of Denali National Park, Alaska",63.1914,-150.8036,earthquake,reviewed,0,,96,,ak
1618709029078,2.5,76.0,"38 km W of Anchor Point, Alaska",59.7605,-152.5088,earthquake,reviewed,0,,96,,ak
1618699882955,2.5,50.3,"46 km WSW of Aleneva, Alaska",57.9482,-153.6748,earthquake,reviewed,0,,96,,ak
1618623527923,2.7,6.3,"48 km ESE of Whittier, Alaska",60.5832,-147.8911,earthquake,reviewed,0,,112,,ak
1618517060462,2.7,88.8,"31 km SW of Cantwell, Alaska",63.173,-149.3876,earthquake,reviewed,0,,112,,ak
1618498393306,2.6,70.1,"21 km E of Skwentna, Alaska",62.0135,-150.9891,earthquake,reviewed,0,,104,,ak
1618463991431,2.8,6.8,"80 km E of Cantwell, Alaska",63.5156,-147.3653,earthquake,reviewed,0,,121,,ak
1618385289547,2.7,30.6,"59 km WNW of Akhiok, Alaska",57.1422,-155.0851,earthquake,reviewed,0,,112,,ak
1618379799109,3.4,99.9,"60 km ESE of Pedro Bay, Alaska",59.6287,-153.0705,earthquake,reviewed,0,,178,,ak
1618289745783,2.7,124.4,"66 km S of Kokhanok, Alaska",58.8468,-154.625,earthquake,reviewed,0,,112,,ak
1618255899254,2.9,101.9,"79 km WNW of Karluk, Alaska",57.9254,-155.5755,earthquake,reviewed,0,,129,,ak
1618113535859,2.7,35.5,"41 km ENE of Fox River, Alaska",60.0018,-150.2826,earthquake,reviewed,0,,112,,ak
1618100598402,2.5,106.0,"64 km W of Happy Valley, Alaska",60.0638,-152.8656,earthquake,reviewed,0,,96,,ak
1618068102500,2.5,73.9,"21 km W of Salamatof, Alaska",60.586,-151.7098,earthquake,reviewed,0,,96,,ak
1618058744701,2.6,5.1,"13 km ESE of Lowell Point, Alaska",60.0325,-149.2141,earthquake,reviewed,0,,104,,ak
1617963288774,2.5,109.4,"78 km NW of Karluk, Alaska",58.0515,-155.4191,earthquake,reviewed,0,,96,,ak
1617943212507,2.5,6.4,"86 km NNW of Aleneva, Alaska",58.7274,-153.682,earthquake,reviewed,0,,96,,ak
1617938595287,2.5,4.6,"87 km NNW of Aleneva, Alaska",58.7333,-153.6841,earthquake,reviewed,0,,96,,ak
1617936019103,2.5,11.8,"70 km N of Chickaloon, Alaska",62.4232,-148.2646,earthquake,reviewed,0,,96,,ak
1617932024170,2.6,56.2,"57 km WNW of Akhiok, Alaska",57.1443,-155.0443,earthquake,reviewed,0,,104,,ak
1617901818671,5.5,80.1,"28 km SE of Cantwell, Alaska",63.2011,-148.5799,earthquake,reviewed,1,green,965,,ak
1617900460077,3.1,135.5,"63 km ENE of Ugashik, Alaska",57.8043,-156.4819,earthquake,reviewed,0,,148,,ak
